Name,Type,min_power,max_power,min_frequency,max_frequency,Link
Автоакустика JBL Bass Pro,сабвуфер,100 Вт,200 Вт,30 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Bass_Pro-171405.html
Автоакустика Alphard MT-15 NEO,твитер,25 Вт,50 Вт,2 000 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alphard/Alphard_MT_15_NEO-3909563.html
Автоакустика Avatar MTU-60 LE,среднечастотная АС,80 Вт,160 Вт,120 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/avatar/Avatar_MTU_60_LE-4226653.html
Автоакустика Avatar MBR-61,среднечастотная АС,70 Вт,140 Вт,100 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/avatar/Avatar_MBR_61-4734450.html
Автоакустика DL Audio Gryphon Pro 165 Midbass,мидбас,120 Вт,None,70 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Gryphon_Pro_165_Midbass-4744435.html
Автоакустика Alphard Machete MFT-25 Mini,твитер,30 Вт,60 Вт,4 000 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_MFT_25_Mini-4817515.html
Автоакустика Avatar MTU-50LE,среднечастотная АС,70 Вт,140 Вт,100 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/avatar/Avatar_MTU_50LE-4855513.html
Автоакустика Oris Element Type 1,компонентная АС,30 Вт,100 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/oris/Oris_Element_Type_1-5055488.html
Автоакустика EDGE ED6G-E9,решетка для динамика,None,None,None,None,https://auto.1k.by/digital-caracoustics/edge/EDGE_ED6G_E9-5098825.html
Автоакустика DL Audio Piranha 10A Orange V.2,сабвуфер,700 Вт,None,23 Гц,220 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Piranha_10A_Orange_V2-5104062.html
Автоакустика DL Audio Raven 15 V.2,сабвуфер,1 200 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Raven_15_V2-5106371.html
Автоакустика DL Audio Raven TW-03 V.2,твитер,60 Вт,None,1 800 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Raven_TW_03_V2-5126515.html
Автоакустика Mystery MC 442,коаксиальная АС,35 Вт,120 Вт,80 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/mystery/Mystery_MC_442-171518.html
Автоакустика УРАЛ AS-D6941,коаксиальная АС,250 Вт,None,50 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_D6941-175868.html
Автоакустика Alpine SXE-0825S,коаксиальная АС,15 Вт,60 Вт,80 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SXE_0825S-183669.html
Автоакустика Alpine SXE-13C2,коаксиальная АС,35 Вт,200 Вт,70 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SXE_13C2-199055.html
Автоакустика Alpine SPG-17C2,коаксиальная АС,60 Вт,240 Вт,68 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SPG_17C2-287765.html
Автоакустика Alpine SXE-17C2,коаксиальная АС,40 Вт,220 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SXE_17C2-803414.html
Автоакустика MTX FPR12-04,сабвуфер,400 Вт,800 Вт,22 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/mtx/MTX_FPR12_04-907817.html
Автоакустика Alpine SPS-M601W,коаксиальная АС,30 Вт,100 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SPS_M601W-2149877.html
Автоакустика Pioneer TS-WX306B,сабвуфер,350 Вт,1 300 Вт,20 Гц,125 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_WX306B-3058871.html
Автоакустика Pioneer TS-R1051S,коаксиальная АС,30 Вт,210 Вт,34 Гц,27 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_R1051S-3183093.html
Автоакустика MTX TX465C,коаксиальная АС,80 Вт,320 Вт,45 Гц,25 000 Гц,https://auto.1k.by/digital-caracoustics/mtx/MTX_TX465C-3332725.html
Автоакустика JBL Stage3 9637F,коаксиальная АС,75 Вт,225 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage3_9637F-3647675.html
Автоакустика ECON ELS-402,коаксиальная АС,35 Вт,120 Вт,80 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_402-3648937.html
Автоакустика ECON ELS-692,коаксиальная АС,75 Вт,240 Вт,50 Гц,18 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_692-3648939.html
Автоакустика ECON ELS-602,коаксиальная АС,60 Вт,180 Вт,65 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_602-3648941.html
Автоакустика ECON ELS-553,коаксиальная АС,45 Вт,150 Вт,75 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_553-3648943.html
Автоакустика ECON ELS-693,коаксиальная АС,90 Вт,260 Вт,50 Гц,18 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_693-3648945.html
Автоакустика ECON ELS-503,коаксиальная АС,45 Вт,150 Вт,75 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_503-3654181.html
Автоакустика ECON ELS-502,коаксиальная АС,40 Вт,140 Вт,75 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_ELS_502-3654183.html
Автоакустика JBL Stage3 427F,коаксиальная АС,30 Вт,90 Вт,75 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage3_427F-3725211.html
Автоакустика ECON EBS-1002,коаксиальная АС,30 Вт,120 Вт,80 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_EBS_1002-3734529.html
Автоакустика ECON EBS-1302,коаксиальная АС,40 Вт,140 Вт,75 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_EBS_1302-3736111.html
Автоакустика ACV PB-572,коаксиальная АС,75 Вт,225 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_PB_572-3929051.html
Автоакустика Avatar XBR-513,коаксиальная АС,40 Вт,80 Вт,90 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/avatar/Avatar_XBR_513-3929075.html
Автоакустика AURA Storm-12,сабвуфер,601 Вт,1 201 Вт,30 Гц,400 Гц,https://auto.1k.by/digital-caracoustics/aura/AURA_Storm_12-4024647.html
Автоакустика ECON EMS-620,коаксиальная АС,65 Вт,240 Вт,62 Гц,18 000 Гц,https://auto.1k.by/digital-caracoustics/econ/ECON_EMS_620-4024669.html
Автоакустика Alphard Apocalypse DB-SA302 D2,сабвуфер,2 000 Вт,4 000 Вт,None,None,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Apocalypse_DB_SA302_D2-4300731.html
Автоакустика Alphard Machete MF-08S D2,сабвуфер,600 Вт,1 200 Вт,None,None,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_MF_08S_D2-4539377.html
Автоакустика Five SC-692,коаксиальная АС,100 Вт,300 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/five/Five_SC_692-4607642.html
Автоакустика DL Audio Raven 130,среднечастотная АС,70 Вт,None,145 Гц,16 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Raven_130-4636259.html
Автоакустика Morel Tempo Ultra 602 Integra MKII,коаксиальная АС,120 Вт,220 Вт,50 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/morel/Morel_Tempo_Ultra_602_Integra_MKII-4641588.html
Автоакустика DL Audio Gryphon Pro TW-02,твитер,50 Вт,None,2 000 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Gryphon_Pro_TW_02-4670872.html
Автоакустика BLAM 690 RS,компонентная АС,75 Вт,150 Вт,60 Гц,25 000 Гц,https://auto.1k.by/digital-caracoustics/blam/BLAM_690_RS-4694477.html
Автоакустика DL Audio Piranha 12 Double Port,сабвуфер,200 Вт,None,20 Гц,230 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Piranha_12_Double_Port-4694482.html
Автоакустика Soundmax SM-CSV602,коаксиальная АС,100 Вт,200 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/soundmax/Soundmax_SM_CSV602-4716840.html
Автоакустика Урал Bulava 15 V.2,сабвуфер,900 Вт,1 800 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Bulava_15_V2-4753529.html
Автоакустика Alphard Machete MLH-60,широкополосная АС,50 Вт,100 Вт,80 Гц,17 000 Гц,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_MLH_60-4813538.html
Автоакустика Alphard Machete MFH-50,широкополосная АС,50 Вт,100 Вт,80 Гц,17 000 Гц,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_MFH_50-4855500.html
Автоакустика DL Audio Barracuda 12A V.2,сабвуфер,950 Вт,None,20 Гц,300 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Barracuda_12A_V2-4952602.html
Автоакустика Deaf Bonce Machete ML-12A,сабвуфер,250 Вт,1 000 Вт,25 Гц,280 Гц,https://auto.1k.by/digital-caracoustics/deafbonce/Deaf_Bonce_Machete_ML_12A-4956452.html
Автоакустика BLAM W165 ES,мидбас,60 Вт,120 Вт,65 Гц,8 000 Гц,https://auto.1k.by/digital-caracoustics/blam/BLAM_W165_ES-4986734.html
Автоакустика DL Audio Phoenix Black Bass 12,сабвуфер,700 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Phoenix_Black_Bass_12-5004081.html
Автоакустика DL Audio Barracuda 6.5 Flat,сабвуфер,150 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Barracuda_65_Flat-5013946.html
Автоакустика Avatar MBR-61LE,среднечастотная АС,70 Вт,140 Вт,100 Гц,12 500 Гц,https://auto.1k.by/digital-caracoustics/avatar/Avatar_MBR_61LE-5034400.html
Автоакустика Alphard Machete Lite 17N,твитер,25 Вт,50 Вт,1 500 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_Lite_17N-5034686.html
Автоакустика KICX LL 38,твитер,45 Вт,90 Вт,2 500 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_LL_38-5044993.html
Автоакустика Skylor SW-BS12V3,сабвуфер,750 Вт,1 500 Вт,None,None,https://auto.1k.by/digital-caracoustics/skylor/Skylor_SW_BS12V3-5055494.html
Автоакустика Phoenix Gold Z12D4,сабвуфер,400 Вт,1 600 Вт,None,None,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z12D4-5096529.html
Автоакустика Phoenix Gold Z4CXi,коаксиальная АС,30 Вт,120 Вт,99 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z4CXi-5096530.html
Автоакустика Phoenix Gold Z5CS,компонентная АС,140 Вт,35 Вт,41 Гц,26 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z5CS-5096531.html
Автоакустика Phoenix Gold Z5CXi,коаксиальная АС,35 Вт,140 Вт,78 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z5CXi-5096532.html
Автоакустика Phoenix Gold Z65CXi,коаксиальная АС,40 Вт,160 Вт,75 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z65CXi-5096533.html
Автоакустика Phoenix Gold Z880,сабвуфер,80 Вт,240 Вт,20 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z880-5096534.html
Автоакустика Phoenix Gold ZB8P,сабвуфер,300 Вт,600 Вт,20 Гц,180 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZB8P-5096535.html
Автоакустика Phoenix Gold ZDSB100CS,компонентная АС,60 Вт,120 Вт,100 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZDSB100CS-5096536.html
Автоакустика Phoenix Gold ZDSB200,мидбас,75 Вт,150 Вт,37 Гц,3 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZDSB200-5096537.html
Автоакустика Phoenix Gold ZDSW7CS,компонентная АС,90 Вт,180 Вт,None,None,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZDSW7CS-5096539.html
Автоакустика Phoenix Gold ZR65CS,компонентная АС,100 Вт,300 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZR65CS-5096540.html
Автоакустика Phoenix Gold ZX1TC,твитер,20 Вт,40 Вт,3 000 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZX1TC-5096541.html
Автоакустика Phoenix Gold ZX35C,среднечастотная АС,20 Вт,40 Вт,250 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZX35C-5096542.html
Автоакустика Phoenix Gold ZX653CS,компонентная АС,100 Вт,200 Вт,60 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZX653CS-5096543.html
Автоакустика Phoenix Gold ZX65C,мидбас,60 Вт,120 Вт,60 Гц,4 500 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZX65C-5097353.html
Автоакустика Phoenix Gold ZXT12D2,сабвуфер,400 Вт,800 Вт,None,None,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_ZXT12D2-5097354.html
Автоакустика DL Audio Gryphon Pro 250 Midbass,мидбас,200 Вт,None,40 Гц,8 500 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Gryphon_Pro_250_Midbass-5106375.html
Автоакустика DL Audio Gryphon Pro 200,среднечастотная АС,100 Вт,None,80 Гц,13 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Gryphon_Pro_200-5106376.html
Автоакустика Phoenix Gold Z46CX,коаксиальная АС,30 Вт,120 Вт,120 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z46CX-5108273.html
Автоакустика Phoenix Gold Z57CX,коаксиальная АС,35 Вт,140 Вт,71 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z57CX-5108274.html
Автоакустика Phoenix Gold Z69CXi,коаксиальная АС,55 Вт,110 Вт,85 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z69CXi-5108275.html
Автоакустика ACV M6W,коаксиальная АС,70 Вт,140 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_M6W-5110873.html
Автоакустика Deaf Bonce Apocalypse M67AC PRO,среднечастотная АС,300 Вт,600 Вт,160 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/deafbonce/Deaf_Bonce_Apocalypse_M67AC_PRO-5135531.html
Автоакустика Phoenix Gold Z110ABV2,сабвуфер,None,None,None,None,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z110ABV2-5140622.html
Автоакустика Phoenix Gold Z65CSi,компонентная АС,40 Вт,160 Вт,69 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/phoenixgold/Phoenix_Gold_Z65CSi-5140623.html
Автоакустика Aura Indigo-80,среднечастотная АС,121 Вт,241 Вт,90 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Indigo_80-4718829.html
Автоакустика Infinity REF-6432CFX,коаксиальная АС,45 Вт,135 Вт,75 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_REF_6432CFX-5034398.html
Автоакустика Helix P 235 Precision,компонентная АС,50 Вт,70 Вт,65 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/helix/Helix_P_235_Precision-177580.html
Автоакустика Урал Молот 10,сабвуфер,300 Вт,600 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Molot_10-4512040.html
Автоакустика EDGE EDBPRO8-E0,среднечастотная АС,175 Вт,320 Вт,100 Гц,9 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDBPRO8_E0-4547172.html
Автоакустика Урал ТТ 250 Гром,мидбас,170 Вт,None,50 Гц,8 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_250_Grom-4718374.html
Автоакустика EDGE EDBXPRO6-E2,мидбас,175 Вт,350 Вт,160 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDBXPRO6_E2-5053646.html
Автоакустика JVC CS-DR6950H,коаксиальная АС,100 Вт,800 Вт,57 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/jvc/JVC_CS_DR6950H-4997351.html
Автоакустика Kicx PD 693,коаксиальная АС,100 Вт,200 Вт,50 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_PD_693-173445.html
Автоакустика JVC CS-J420X,коаксиальная АС,21 Вт,210 Вт,45 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/jvc/JVC_CS_J420X-1200591.html
Автоакустика EDGE ED226-E8,коаксиальная АС,60 Вт,180 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_ED226_E8-3654145.html
Автоакустика Урал Патриот 15,сабвуфер,900 Вт,2 000 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_15-5036956.html
Автоакустика Pioneer TS-WX140DA,сабвуфер,50 Вт,170 Вт,20 Гц,200 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_WX140DA-4986730.html
Автоакустика JBL GX6428,коаксиальная АС,40 Вт,120 Вт,75 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_GX6428-5098832.html
Автоакустика Alpine SBG-1244BR,сабвуфер,250 Вт,800 Вт,28 Гц,200 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SBG_1244BR-565016.html
Автоакустика Digma DCA-S402,коаксиальная АС,80 Вт,160 Вт,90 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/digma/Digma_DCA_S402-3654173.html
Автоакустика Alphard Machete ML-10R D2,сабвуфер,500 Вт,1 000 Вт,None,None,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_ML_10R_D2-4539382.html
Автоакустика ACV BTA-8R,сабвуфер,76 Вт,450 Вт,40 Гц,200 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_BTA_8R-4210511.html
Автоакустика УРАЛ АС-У12А (черный),сабвуфер,350 Вт,900 Вт,20 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_Y12A_chernyiii-4684493.html
Автоакустика KICX Headshot NEF65,среднечастотная АС,200 Вт,400 Вт,120 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_Headshot_NEF65-4855516.html
Автоакустика Helix RS 5 Competition,компонентная АС,70 Вт,100 Вт,61 Гц,25 000 Гц,https://auto.1k.by/digital-caracoustics/helix/Helix_RS_5_Competition-174444.html
Автоакустика Calcell CP-625C,компонентная АС,200 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/calcell/Calcell_CP_625C-395082.html
Автоакустика УРАЛ AS-C1327K,компонентная АС,120 Вт,None,68 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_C1327K-907101.html
Автоакустика Phantom FS-165,коаксиальная АС,40 Вт,80 Вт,None,None,https://auto.1k.by/digital-caracoustics/phantom/Phantom_FS_165-2713615.html
Автоакустика Phantom FS-132,коаксиальная АС,35 Вт,65 Вт,None,None,https://auto.1k.by/digital-caracoustics/phantom/Phantom_FS_132-2713613.html
Автоакустика Kicx GT500BPA,сабвуфер,500 Вт,1 100 Вт,30 Гц,1 500 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_GT500BPA-3246259.html
Автоакустика JBL Stage1 621,коаксиальная АС,35 Вт,175 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_Stage1_621-3756983.html
Автоакустика ACV PD-401,широкополосная АС,30 Вт,90 Вт,100 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_PD_401-3945301.html
Автоакустика Alpine SXE-6925S,коаксиальная АС,45 Вт,280 Вт,40 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SXE_6925S-171213.html
Автоакустика Alpine SBE-1244BR,сабвуфер,200 Вт,650 Вт,None,None,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SBE_1244BR-704051.html
Автоакустика JVC CS-DR420,коаксиальная АС,35 Вт,220 Вт,114 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/jvc/JVC_CS_DR420-2497977.html
Автоакустика Infinity Alpha 4020,коаксиальная АС,25 Вт,175 Вт,75 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_Alpha_4020-4547105.html
Автоакустика Deaf Bonce Machete Fight 80 MIDBASS,мидбас,170 Вт,340 Вт,55 Гц,9 000 Гц,https://auto.1k.by/digital-caracoustics/deafbonce/Deaf_Bonce_Machete_Fight_80_MIDBASS-5044987.html
Автоакустика Урал АК-M М,коаксиальная АС,280 Вт,None,42 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AK_M_M-4679167.html
Автоакустика Digma DCA-K402,коаксиальная АС,50 Вт,100 Вт,100 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/digma/Digma_DCA_K402-3037487.html
Автоакустика Digma DCA-A502,коаксиальная АС,60 Вт,140 Вт,80 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/digma/Digma_DCA_A502-3114065.html
Автоакустика KENWOOD KFC-S1366,коаксиальная АС,30 Вт,260 Вт,45 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/kenwood/KENWOOD_KFC_S1366-3161689.html
Автоакустика Kicx Headshot LS65,мидбас,150 Вт,300 Вт,105 Гц,15 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_Headshot_LS65-3736107.html
Автоакустика Урал TT 130,среднечастотная АС,90 Вт,180 Вт,135 Гц,10 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_TT_130-3909561.html
Автоакустика Alphard Machete LW-65A4,мидбас,80 Вт,160 Вт,30 Гц,3 500 Гц,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Machete_LW_65A4-4301051.html
Автоакустика JBL BassPro SL2,сабвуфер,125 Вт,None,35 Гц,120 Гц,https://auto.1k.by/digital-caracoustics/jbl/JBL_BassPro_SL2-4547159.html
Автоакустика VIBE audio SLICK5-V7,коаксиальная АС,70 Вт,210 Вт,60 Гц,25 000 Гц,https://auto.1k.by/digital-caracoustics/vibe/VIBE_audio_SLICK5_V7-4557441.html
Автоакустика EDGE EDST215-E6,коаксиальная АС,50 Вт,100 Вт,80 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDST215_E6-2975973.html
Автоакустика Digma DCA-A693,коаксиальная АС,100 Вт,300 Вт,65 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/digma/Digma_DCA_A693-3114063.html
Автоакустика Infinity Reference 6530cx,компонентная АС,90 Вт,270 Вт,53 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_Reference_6530cx-3246239.html
Автоакустика EDGE EDBXPRO6N-E9,"среднечастотная АС, мидбас",150 Вт,300 Вт,120 Гц,8 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_EDBXPRO6N_E9-4168517.html
Автоакустика Урал АС-М130 Молот,широкополосная АС,60 Вт,120 Вт,80 Гц,17 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_M130_Molot-4476657.html
Автоакустика Урал Молот 12,сабвуфер,300 Вт,600 Вт,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Molot_12-4512042.html
Автоакустика УРАЛ AK-74 М,коаксиальная АС,200 Вт,None,45 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AK_74_M-4548243.html
Автоакустика Alphard Apocalypse DB-SA2508 D2,сабвуфер,800 Вт,1 600 Вт,None,None,https://auto.1k.by/digital-caracoustics/alphard/Alphard_Apocalypse_DB_SA2508_D2-4587230.html
Автоакустика Sony XS-GTF6939,коаксиальная АС,60 Вт,420 Вт,50 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/sony/Sony_XS_GTF6939-4698355.html
Автоакустика ACV Craft F122A,сабвуфер,600 Вт,3 000 Вт,30 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_Craft_F122A-5055492.html
Автоакустика Pioneer TS-S20,твитер,50 Вт,200 Вт,1 200 Гц,26 000 Гц,https://auto.1k.by/digital-caracoustics/pioneer/Pioneer_TS_S20-3389733.html
Автоакустика EDGE ED229-E8,коаксиальная АС,100 Вт,300 Вт,45 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/edge/EDGE_ED229_E8-3647693.html
Автоакустика Black Hydra Delta 6913X,коаксиальная АС,70 Вт,140 Вт,40 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/blackhydra/Black_Hydra_Delta_6913X-4960696.html
Автоакустика Alpine SBG-1044BR,сабвуфер,150 Вт,500 Вт,30 Гц,200 Гц,https://auto.1k.by/digital-caracoustics/alpine/Alpine_SBG_1044BR-565114.html
Автоакустика Урал АС-М200 Молот,широкополосная АС,100 Вт,202 Вт,75 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_M200_Molot-4476652.html
Автоакустика Урал АС-А1625К Авангард,компонентная АС,110 Вт,230 Вт,41 Гц,21 500 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_A1625K_Avangard-4512038.html
Автоакустика Урал АК-74.C М,коаксиальная АС,210 Вт,None,45 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AK_74C_M-4548249.html
Автоакустика Урал Патриот АС-ПТ300 Гром,мидбас,350 Вт,None,50 Гц,3 500 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_AS_PT300_Grom-4948861.html
Автоакустика Black Hydra Delta 513X,коаксиальная АС,60 Вт,120 Вт,50 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/blackhydra/Black_Hydra_Delta_513X-4960693.html
Автоакустика Black Hydra Delta 613C,компонентная АС,70 Вт,140 Вт,50 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/blackhydra/Black_Hydra_Delta_613C-4960694.html
Автоакустика KICX Sound Civilization MS-62,компонентная АС,100 Вт,200 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/kicx/KICX_Sound_Civilization_MS_62-5013952.html
Автоакустика Nakamichi NBT-1006A,сабвуфер,100 Вт,1 000 Вт,20 Гц,200 Гц,https://auto.1k.by/digital-caracoustics/nakamichi/Nakamichi_NBT_1006A-5106366.html
